timestamp,round,sample_size,iteration,unique_fragments
2025-10-24T22:06:17,15r,1,1,3820
2025-10-24T22:06:19,15r,1,2,3767
2025-10-24T22:06:21,15r,1,3,3789
2025-10-24T22:06:22,15r,1,4,3873
2025-10-24T22:06:24,15r,1,5,3845
2025-10-24T22:06:25,15r,1,6,3826
2025-10-24T22:06:27,15r,1,7,3784
2025-10-24T22:06:29,15r,1,8,3774
2025-10-24T22:06:30,15r,1,9,3786
2025-10-24T22:06:32,15r,1,10,3841
2025-10-24T22:06:37,15r,10,1,19617
2025-10-24T22:06:42,15r,10,2,19641
2025-10-24T22:06:48,15r,10,3,19588
2025-10-24T22:06:53,15r,10,4,19634
2025-10-24T22:06:58,15r,10,5,19703
2025-10-24T22:07:03,15r,10,6,19702
2025-10-24T22:07:09,15r,10,7,19550
2025-10-24T22:07:14,15r,10,8,19599
2025-10-24T22:07:20,15r,10,9,19505
2025-10-24T22:07:26,15r,10,10,19668
2025-10-24T22:07:51,15r,100,1,56047
2025-10-24T22:08:18,15r,100,2,56187
2025-10-24T22:08:46,15r,100,3,56250
2025-10-24T22:09:13,15r,100,4,56304
2025-10-24T22:09:40,15r,100,5,56234
2025-10-24T22:10:08,15r,100,6,56118
2025-10-24T22:10:37,15r,100,7,56076
2025-10-24T22:11:04,15r,100,8,56142
2025-10-24T22:11:47,15r,100,9,56158
2025-10-24T22:12:18,15r,100,10,56104
2025-10-24T22:15:02,15r,1k,1,111072
2025-10-24T22:17:50,15r,1k,2,110786
2025-10-24T22:20:35,15r,1k,3,110914
2025-10-24T22:23:28,15r,1k,4,110916
2025-10-24T22:26:24,15r,1k,5,110800
2025-10-24T22:29:05,15r,1k,6,110738
2025-10-24T22:31:45,15r,1k,7,110671
2025-10-24T22:34:16,15r,1k,8,110807
2025-10-24T22:36:49,15r,1k,9,110830
2025-10-24T22:39:31,15r,1k,10,110834
2025-10-24T22:59:12,15r,10k,1,171058
2025-10-24T23:18:12,15r,10k,2,171441
2025-10-24T23:38:15,15r,10k,3,171312
2025-10-24T23:58:34,15r,10k,4,171330
2025-10-25T00:18:34,15r,10k,5,170958
2025-10-25T00:39:48,15r,10k,6,171351
2025-10-25T01:00:25,15r,10k,7,171545
2025-10-25T01:22:14,15r,10k,8,171200
2025-10-25T01:40:42,15r,10k,9,171270
2025-10-25T01:58:47,15r,10k,10,171450
